web-scraper-order,web-scraper-start-url,start_scraping,start_scraping-href,image-src,image_labels,REPLACED_LABELS,Ambience attributes,Human/ facial attributes,Objects/ animals,Product attributes,goal,Raised,people,time,updates,updates-href,createdby,today,no of days,shares
1543713680-1811,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/ericas-graduation-business,https://d2g8igdw686xgo.cloudfront.net/29733734_15257897400_r.jpeg,beauty human hair color lady girl shoulder smile blond chin brown hair neck,beauty  people   _people  color lady  people  shoulder  people  blond  people  brown  _people  neck,0.018518519,0.018518519,0.944444444,0.018518519,500,535,14,Raised by 14 people in 6 months,0,,5/8/18,12/5/18,210,30
1543712252-1282,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/Food-fund-to-help-start-business,https://d2g8igdw686xgo.cloudfront.net/29304656_15242880750_r.jpeg,machine tool welder machine service,ma people e tool welder ma people e service,0.298076923,0.682692308,0.009615385,0.009615385,1000,420,6,Raised by 6 people in 7 months,   2,https://www.gofundme.com/Food-fund-to-help-start-business#updates,4/21/18,12/5/18,227,6
1543712274-1291,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/business-vision-trip-to-n-africa,https://d2g8igdw686xgo.cloudfront.net/26817458_1515462546.5977.jpg,people photograph jeans denim photography outerwear winter tree standing fun,people photograph jeans denim photography outerwear winter tree standing fun,0.013513514,0.959459459,0.013513514,0.013513514,4300,2580,16,Raised by 16 people in 10 months,0,,1/8/18,12/5/18,330,8
1543713832-1868,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/lost-home-amp-business-in-wildfire,,#N/A,#N/A, , , , ,5000,2924,41,Raised by 41 people in 22 days,   4,https://www.gofundme.com/lost-home-amp-business-in-wildfire#updates,11/9/18,12/5/18,25,203
1543713090-1593,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/help-a-local-artists-business,https://d2g8igdw686xgo.cloudfront.net/21326374_1497968259.0409.png,person man forehead head chin smile selfie, people   people   people   people   people   people  selfie,0.009615385,0.971153846,0.009615385,0.009615385,3200,2600,25,Raised by 25 people in 17 months,   1,https://www.gofundme.com/help-a-local-artists-business#updates,6/20/17,12/5/18,532,176
1543711739-1090,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/4ufcp-study-abroad-trip-to-china,https://d2g8igdw686xgo.cloudfront.net/24381372_1507055708.9203.jpeg,blue photograph girl dress beauty lady standing photography shoulder model,blue photograph  people  dress beauty lady standing photography shoulder model,0.00877193,0.973684211,0.00877193,0.00877193,1500,663,17,Raised by 17 people in 14 months,   2,https://www.gofundme.com/4ufcp-study-abroad-trip-to-china#updates,10/3/17,12/5/18,427,241
1543712239-1277,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/uq2rty-business-study-abroad-in-belize,https://d2g8igdw686xgo.cloudfront.net/34286960_1541538497248885_r.jpeg,shoulder smile trunk girl abdomen fun glasses muscle vision care vacation,shoulder  people  trunk  people  abdomen fun glasses muscle vision  vehicle e vacation,0.011904762,0.726190476,0.011904762,0.25,5000,40,1,Raised by 1 person in 25 days,0,,11/6/18,12/5/18,28,26
1543712756-1472,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/qawn3z-abused-no-more,https://d2g8igdw686xgo.cloudfront.net/25308366_1538602690445582_r.jpeg,0,0, , , , ,10000,835,14,Raised by 14 people in 1 month,   3,https://www.gofundme.com/qawn3z-abused-no-more#updates,10/3/18,12/5/18,62,40
1543713494-1740,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/nkzt4j-paradise-fire,https://d2g8igdw686xgo.cloudfront.net/34459518_1542223888342433_r.jpeg,geological phenomenon tree rock geology rubble landscape outcrop bedrock disaster,geological phenomenon tree rock geology rubble landscape outcrop bedrock disaster,0.007462687,0.97761194,0.007462687,0.007462687,30000,7940,49,Raised by 49 people in 17 days,0,,11/14/18,12/5/18,20,50
1543713572-1770,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/lost-in-tubbs-fire-home-business,https://d2g8igdw686xgo.cloudfront.net/24588758_1507752610.2971.jpg,geological phenomenon soil rubble disaster demolition tree,geological phenomenon soil rubble disaster demolition tree,0.875,0.009615385,0.105769231,0.009615385,5000,2495,35,Raised by 35 people in 13 months,   1,https://www.gofundme.com/lost-in-tubbs-fire-home-business#updates,10/11/17,12/5/18,419,126
1543712605-1414,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/help-me-open-my-own-buisness,https://d2g8igdw686xgo.cloudfront.net/29367256_15246933050_r.jpg,eyebrow human hair color nose chin hairstyle forehead cheek girl lip black hair, people   people   _people  color  people   people   _people style  people   people   people   people  black  _people ,0.975806452,0.008064516,0.008064516,0.008064516,1000,485,11,Raised by 11 people in 7 months,0,,4/23/18,12/5/18,225,61
1543712422-1341,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/yubzes-we-are-starting-a-nonprofit-business-for-children,https://d2g8igdw686xgo.cloudfront.net/34589558_1542649044792135_r.jpg,water recreation leisure tree fun sports vacation vehicle road sky,water recreation leisure tree fun sports vacation vehicle road sky,0.105769231,0.009615385,0.009615385,0.875,500,380,16,Raised by 16 people in 15 days,0,,11/16/18,12/5/18,18,18
1543712501-1373,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/international-business-trip-asia,https://d2g8igdw686xgo.cloudfront.net/27717574_1518548163.3078.jpg,reflection cityscape sky city water landmark skyline metropolitan area urban area metropolis,reflection cityscape sky city water landmark skyline metropolitan area urban area metropolis,0.184210526,0.798245614,0.00877193,0.00877193,750,555,9,Raised by 9 people in 9 months,0,,2/14/18,12/5/18,293,45
1543713839-1870,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/helpourpartners,https://d2g8igdw686xgo.cloudfront.net/23906760_1508107360.1982.jpg,food dish meal cuisine restaurant drink brunch lunch dinner supper,food dish meal cuisine restaurant drink brunch lunch dinner supper,0.329787234,0.64893617,0.010638298,0.010638298,20000,13135,184,Raised by 184 people in 14 months,   7,https://www.gofundme.com/helpourpartners#updates,9/15/17,12/5/18,445,414
1543712811-1492,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/Dougsupholstery,https://d2g8igdw686xgo.cloudfront.net/28231206_1520452231.2548.jpg,people facial expression day smile fun emotion snapshot photography girl vacation,people  people  expression day  people  fun emotion snapshot photography  people  vacation,0.529850746,0.007462687,0.305970149,0.156716418,8500,1425,21,Raised by 21 people in 8 months,   2,https://www.gofundme.com/Dougsupholstery#updates,3/7/18,12/5/18,272,113
1543712615-1418,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/ibeatsnewplan,https://d2g8igdw686xgo.cloudfront.net/29620868_15259055980_r.jpg,suit public speaking necktie businessperson tuxedo formal wear gentleman,suit public speaking necktie business people  tuxedo formal wear gentle people ,0.184210526,0.00877193,0.798245614,0.00877193,46000,370,25,Raised by 25 people in 7 months,   7,https://www.gofundme.com/ibeatsnewplan#updates,5/3/18,12/5/18,215,68
1543712018-1191,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/expanding-a-small-business,https://d2g8igdw686xgo.cloudfront.net/32458662_1535331780428602_r.jpeg,vehicle transport trailer automotive exterior asphalt plant community motor vehicle machine,vehicle transport trailer automotive exterior asphalt plant community motor vehicle ma people e,0.009615385,0.971153846,0.009615385,0.009615385,15000,0,0,Campaign created 3 months ago,0,,8/26/18,12/5/18,100,0
1543713369-1694,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/my-fathers-business,https://d2g8igdw686xgo.cloudfront.net/32804984_1536426472930313_r.jpeg,vehicle car mode of transport motor vehicle asphalt automotive exterior traffic collision,vehicle  vehicle  mode of transport motor vehicle asphalt automotive exterior traffic collision,0.845238095,0.011904762,0.130952381,0.011904762,5000,1415,14,Raised by 14 people in 2 months,   1,https://www.gofundme.com/my-fathers-business#updates,9/8/18,12/5/18,87,178
1543711554-1028,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/dance-for-clance,https://d2g8igdw686xgo.cloudfront.net/31916924_1535976707900022_r.jpg,person forehead man eyebrow nose chin head hairstyle smile jaw, people   people   people   people   people   people   people   _people style  people  jaw,0.201923077,0.778846154,0.009615385,0.009615385,14000,10755,96,Raised by 96 people in 3 months,0,,8/6/18,12/5/18,120,199
1543713783-1850,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/dead-good-burrito-rebuild-business,https://d2g8igdw686xgo.cloudfront.net/23234914_1503496803.2381.jpg,canopy tent gazebo outdoor structure stall vehicle recreation,canopy tent gazebo outdoor structure stall vehicle recreation,0.00877193,0.00877193,0.00877193,0.973684211,9525,5732,109,Raised by 109 people in 15 months,   2,https://www.gofundme.com/dead-good-burrito-rebuild-business#updates,8/23/17,12/5/18,468,418
1543712631-1424,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/saving-celine039s-foot-care-business,https://d2g8igdw686xgo.cloudfront.net/34129736_1540956979294993_r.jpeg,0,0, , , , ,5000,275,5,Raised by 5 people in 1 month,0,,10/30/18,12/5/18,35,48
1543711665-1066,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/ecaa2ilr,https://d2g8igdw686xgo.cloudfront.net/31195094_1533113571974436_r.jpeg,text purple font advertising violet product poster magenta brand graphic design,text purple font advertising violet product poster magenta brand graphic design,0.005747126,0.005747126,0.982758621,0.005747126,127000,80429,705,Raised by 705 people in 4 months,   8,https://www.gofundme.com/ecaa2ilr#updates,7/10/18,12/5/18,147,1800
1543712459-1356,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/business-mastery-recovery-fund,https://d2g8igdw686xgo.cloudfront.net/32297128_1534791076670420_r.jpeg,face glasses facial expression smile vision care emotion fun friendship forehead eyewear,face glasses  people  expression  people  vision  vehicle e emotion fun friendship  people   glasses ,0.007462687,0.97761194,0.007462687,0.007462687,5000,455,6,Raised by 6 people in 3 months,0,,8/20/18,12/5/18,106,5
1543712221-1271,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/women-in-business-scholarship,https://d2g8igdw686xgo.cloudfront.net/34159158_1541086408426229_r.jpeg,sitting communication technology business businessperson design conversation job energy,sitting communication technology business business people  design conversation job energy,0.008064516,0.975806452,0.008064516,0.008064516,2000,10,1,Raised by 1 person in 1 month,0,,11/1/18,12/5/18,33,10
1543712751-1470,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/business-plan-starter-kit,https://d2g8igdw686xgo.cloudfront.net/34725014_1542763967164653_r.jpeg,hair face eyebrow human hair color smile cheek nose beauty chin head, _people  face  people   people   _people  color  people   people   people  beauty  people   people ,0.022727273,0.931818182,0.022727273,0.022727273,500,770,11,Raised by 11 people in 10 days,   1,https://www.gofundme.com/business-plan-starter-kit#updates,11/20/18,12/5/18,14,53
1543712250-1281,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/please-help-a-struggling-business,https://d2g8igdw686xgo.cloudfront.net/34987148_1543605900763131_r.jpeg,dish cuisine food vegetarian food guacamole side dish dip stamppot salad condiment,dish cuisine food vegetarian food guacamole side dish dip stamppot salad condiment,0.008064516,0.008064516,0.975806452,0.008064516,100,25,1,Raised by 1 person in 1 day,0,,11/30/18,12/5/18,4,7
1543713309-1672,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/65zembs,https://d2g8igdw686xgo.cloudfront.net/33223994_153782374924825_r.jpg,nature green plant tree vertebrate woody plant leaf grass fun leisure,nature green plant tree vertebrate woody plant leaf grass fun leisure,0.006944444,0.006944444,0.979166667,0.006944444,2500,380,5,Raised by 5 people in 2 months,   1,https://www.gofundme.com/65zembs#updates,9/24/18,12/5/18,71,51
1543711698-1077,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/63hm6qo,https://d2g8igdw686xgo.cloudfront.net/32850696_1537299569944080_r.jpg,facial hair beard eating, people   _people  beard eating,0.006944444,0.423611111,0.076388889,0.493055556,9000,53281,"1,663","Raised by 1,663 people in 2 months",   3,https://www.gofundme.com/63hm6qo#updates,9/10/18,12/5/18,85,6000
1543712821-1496,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/funding-mobile-cleaning-business,https://d2g8igdw686xgo.cloudfront.net/34032482_1540696707395580_r.jpeg,vehicle motor vehicle trailer truck automotive exterior automotive tire machine commercial vehicle,vehicle motor vehicle trailer truck automotive exterior automotive tire ma people e commercial vehicle,0.009615385,0.009615385,0.009615385,0.971153846,15000,2330,26,Raised by 26 people in 1 month,   1,https://www.gofundme.com/funding-mobile-cleaning-business#updates,10/26/18,12/5/18,39,86
1543713867-1881,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/33fgm-help-me-get-my-business-started,https://d2g8igdw686xgo.cloudfront.net/31179816_1531167739351982_r.jpeg,vehicle motor vehicle car transport mode of transport van automotive exterior street commercial vehicle minivan,vehicle motor vehicle  vehicle  transport mode of transport van automotive exterior street commercial vehicle minivan,0.008064516,0.975806452,0.008064516,0.008064516,350,640,14,Raised by 14 people in 4 months,   4,https://www.gofundme.com/33fgm-help-me-get-my-business-started#updates,7/9/18,12/5/18,148,88
1543713542-1759,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/jnvkau-funding-for-business-start-up,https://d2g8igdw686xgo.cloudfront.net/24032362_1505921330.3155.png,goggles eyewear yellow glasses product personal protective equipment sunglasses automotive design vision care product,goggles  glasses  yellow glasses product  people al protective equipment sunglasses automotive design vision  vehicle e product,0.029411765,0.029411765,0.029411765,0.911764706,2500,1735,11,Raised by 11 people in 14 months,0,,9/20/17,12/5/18,440,68
1543711622-1052,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/cookiesforgunsense,https://d2g8igdw686xgo.cloudfront.net/30001756_1528514002965134_r.jpeg,text yellow font product orange banner line advertising area product,text yellow font product orange banner line advertising area product,0.00877193,0.00877193,0.535087719,0.447368421,5000,3465,110,Raised by 110 people in 6 months,   7,https://www.gofundme.com/cookiesforgunsense#updates,5/19/18,12/5/18,199,106
1543713563-1767,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/my-memories-of-the-music-business,https://d2g8igdw686xgo.cloudfront.net/22488174_fb_1500859707.4487_funds.jpg,face eyebrow nose black and white person eye cheek monochrome photography head forehead,face  people   people  black and white  people  eye  people  monochrome photography  people   people ,0.007462687,0.007462687,0.007462687,0.97761194,5500,895,22,Raised by 22 people in 16 months,   3,https://www.gofundme.com/my-memories-of-the-music-business#updates,7/23/17,12/5/18,499,210
1543711709-1081,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/xkd5x-international-tuition,https://d2g8igdw686xgo.cloudfront.net/26421230_1513902810.2209.jpg,outerwear product jacket,outerwear product jacket,0.755319149,0.010638298,0.223404255,0.010638298,61595,787,18,Raised by 18 people in 11 months,0,,12/30/17,12/5/18,339,143
1543712000-1184,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/to-start-my-ecommerce-business,https://d2g8igdw686xgo.cloudfront.net/31479746_1532067186678341_r.jpeg,green mammal fictional character font logo graphics computer wallpaper illustration symbol graphic design,green mammal fictional character font logo graphics computer wallpaper illustration symbol graphic design,0.096491228,0.00877193,0.00877193,0.885964912,1270,0,0,Campaign created 4 months ago,0,,7/20/18,12/5/18,137,0
1543712775-1478,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/the-black-business-alliance-launch,,#N/A,#N/A, , , , ,5000,1384,31,Raised by 31 people in 9 months,0,,3/2/18,12/5/18,277,65
1543712026-1194,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/tree-cutting-business,https://d2g8igdw686xgo.cloudfront.net/32644206_153592787522478_r.jpeg,vehicle grass car plant lawn tree landscape plant community,vehicle grass  vehicle  plant lawn tree landscape plant community,0.022727273,0.022727273,0.022727273,0.931818182,1500,0,0,Campaign created 3 months ago,   1,https://www.gofundme.com/tree-cutting-business#updates,9/2/18,12/5/18,93,0
1543712087-1219,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/uh2nm-building-my-business,https://d2g8igdw686xgo.cloudfront.net/34937456_1543621314783940_r.jpeg,pink text heart love font magenta valentine's day logo line heart,pink text heart love font magenta valentine's day logo line heart,0.009615385,0.971153846,0.009615385,0.009615385,2500,0,0,Campaign created 1 day ago,0,,11/30/18,12/5/18,4,4
1543713539-1758,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/msmqq-business-launch-campaign,https://d2g8igdw686xgo.cloudfront.net/26990758_1516062457.4153.jpg,text font brand writing,text font brand writing,0.298076923,0.490384615,0.009615385,0.201923077,7000,1200,20,Raised by 20 people in 10 months,   1,https://www.gofundme.com/msmqq-business-launch-campaign#updates,1/15/18,12/5/18,323,79
1543711741-1091,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/entstellter-korper-durch-abnahme,https://d2g8igdw686xgo.cloudfront.net/33243626_15379902270_r.jpg,human hair color chin shoulder muscle blond mouth abdomen joint girl neck, people   _people  color  people  shoulder muscle blond mouth abdomen joint  people  neck,0.759259259,0.018518519,0.018518519,0.203703704,5650,267,20,Raised by 20 people in 2 months,0,,9/25/18,12/5/18,70,196
1543712078-1215,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/6gpbyfk,https://d2g8igdw686xgo.cloudfront.net/34828468_1543581607193290_r.jpg,face nose chin person man eyebrow forehead cheek head mouth,face  people   people   people   people   people   people   people   people  mouth,0.617647059,0.029411765,0.029411765,0.323529412,12500,0,0,Campaign created 1 day ago,0,,11/30/18,12/5/18,4,0
1543713728-1829,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/help-family-business-stay-afloat,https://d2g8igdw686xgo.cloudfront.net/27858498_15190806070_r.jpeg,chair furniture shoulder sitting product joint floor arm leg patient,c _people  furniture shoulder sitting product joint floor arm leg patient,0.447368421,0.535087719,0.00877193,0.00877193,953,798,17,Raised by 17 people in 9 months,   6,https://www.gofundme.com/help-family-business-stay-afloat#updates,2/19/18,12/5/18,288,60
1543713314-1674,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/thesbparty,https://d2g8igdw686xgo.cloudfront.net/34663326_1542689088967956_r.jpeg,t shirt community product team advertising,t shirt community product team advertising,0.203703704,0.018518519,0.388888889,0.388888889,250000,510,6,Raised by 6 people in 12 days,0,,11/19/18,12/5/18,15,39
1543713935-1906,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/aiducation,https://d2g8igdw686xgo.cloudfront.net/30304638_1527876059.8034.jpg,vehicle tree t shirt job car,vehicle tree t shirt job  vehicle ,0.328125,0.015625,0.015625,0.640625,3048,597,17,Raised by 17 people in 6 months,0,,6/1/18,12/5/18,186,31
1543712125-1235,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/bastiaandahl,https://d2g8igdw686xgo.cloudfront.net/25326450_1533541969778339_r.jpg,text font line area product brand logo angle paper rectangle,text font line area product brand logo angle paper rectangle,0.640625,0.015625,0.171875,0.171875,936100,0,0,Campaign created 12 months ago,   5,https://www.gofundme.com/bastiaandahl#updates,11/21/17,12/5/18,378,5
1543712280-1293,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/FBLAArizona,https://d2g8igdw686xgo.cloudfront.net/28624196_15219193250_r.jpeg,stage performance event convention,stage perfor people ce event convention,0.006944444,0.006944444,0.979166667,0.006944444,13000,130,4,Raised by 4 people in 8 months,0,,3/24/18,12/5/18,255,56
1543711923-1154,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/please-help-start-my-first-business,https://d2g8igdw686xgo.cloudfront.net/29350514_15244988010_r.jpeg,blue product t shirt electric blue fun,blue product t shirt electric blue fun,0.973684211,0.00877193,0.00877193,0.00877193,1000,0,0,Campaign created 7 months ago,   3,https://www.gofundme.com/please-help-start-my-first-business#updates,4/23/18,12/5/18,225,0
1543712210-1267,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/custom-fish-tanks-anyway-you-want,https://d2g8igdw686xgo.cloudfront.net/33966444_1540341136731224_r.jpeg,plant aquarium window glass freshwater aquarium,plant aquarium window glass freshwater aquarium,0.973684211,0.00877193,0.00877193,0.00877193,1000,80,3,Raised by 3 people in 1 month,0,,10/23/18,12/5/18,42,0
1543712262-1286,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/qeu9k-help-a-vet-start-a-business,https://d2g8igdw686xgo.cloudfront.net/34916826_1543406244607472_r.jpeg,motor vehicle transport vehicle mode of transport asphalt car automotive exterior snow road auto part,motor vehicle transport vehicle mode of transport asphalt  vehicle  automotive exterior snow road auto part,0.554054054,0.148648649,0.283783784,0.013513514,75000,12,1,Raised by 1 person in 3 days,0,,11/28/18,12/5/18,6,15
1543711605-1046,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/qqqw8-superman-needs-our-help,https://d2g8igdw686xgo.cloudfront.net/33911948_1540160878964768_r.jpeg,festival parade event public event crowd carnival recreation fête street pedestrian,festival parade event public event crowd  vehicle nival recreation fête street pedestrian,0.029411765,0.029411765,0.323529412,0.617647059,4500,41135,902,Raised by 902 people in 1 month,   3,https://www.gofundme.com/qqqw8-superman-needs-our-help#updates,10/21/18,12/5/18,44,4400
1543711488-1003,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/wright-family-flood-recovery,https://d2g8igdw686xgo.cloudfront.net/32295444_1534786776208231_r.jpeg,people photograph social group sitting fun tree photography grass plant family,people photograph social group sitting fun tree photography grass plant  people ,0.778846154,0.009615385,0.201923077,0.009615385,25000,37815,302,Raised by 302 people in 3 months,   2,https://www.gofundme.com/wright-family-flood-recovery#updates,8/20/18,12/5/18,106,915
1543713642-1797,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/4k6mviw,https://d2g8igdw686xgo.cloudfront.net/24573262_15076951440_r.jpg,people event family fun tradition flower christmas tree ceremony holiday,people event  people  fun tradition flower christmas tree ceremony holiday,0.006944444,0.979166667,0.006944444,0.006944444,7000,6100,47,Raised by 47 people in 13 months,   3,https://www.gofundme.com/4k6mviw#updates,10/10/17,12/5/18,420,481
1543713970-1918,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/segunsbusiness,https://d2g8igdw686xgo.cloudfront.net/33626908_1539177655518488_r.jpeg,people white black photograph woman facial expression person child black and white girl,people white black photograph wo people   people  expression  people   people  black and white  people ,0.029411765,0.029411765,0.911764706,0.029411765,1500,1534,59,Raised by 59 people in 1 month,0,,10/10/18,12/5/18,55,27
1543712563-1398,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/HairoftheDogPensacola,https://d2g8igdw686xgo.cloudfront.net/27619706_1539356507921691_r.jpeg,white text font clip art line art organ design line art area,white text font c people  art line art organ design line art area,0.959459459,0.013513514,0.013513514,0.013513514,15000,1435,12,Raised by 12 people in 9 months,   5,https://www.gofundme.com/HairoftheDogPensacola#updates,2/9/18,12/5/18,298,149
1543713218-1642,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/uqsas-business-start-up,https://d2g8igdw686xgo.cloudfront.net/22447822_1500687430.0206.jpg,hair human hair color hairstyle beauty girl black hair afro human smile long hair, _people   people   _people  color  _people style beauty  people  black  _people  afro  people   people  long  _people ,0.009615385,0.971153846,0.009615385,0.009615385,2500,170,8,Raised by 8 people in 16 months,   3,https://www.gofundme.com/uqsas-business-start-up#updates,7/21/17,12/5/18,501,110
1543712304-1302,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/bo-wagner039s-business-burned-down,https://d2g8igdw686xgo.cloudfront.net/32835766_1536531487224502_r.jpeg,vehicle construction metal,vehicle construction metal,0.554054054,0.418918919,0.013513514,0.013513514,2500,555,12,Raised by 12 people in 2 months,0,,9/9/18,12/5/18,86,101
1543712679-1442,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/SHEBOSSCAMP,https://d2g8igdw686xgo.cloudfront.net/22021058_1501723717.325.jpg,team social group youth community t shirt recreation,team social group youth community t shirt recreation,0.010638298,0.223404255,0.010638298,0.755319149,500,918,28,Raised by 28 people in 17 months,   4,https://www.gofundme.com/SHEBOSSCAMP#updates,7/4/17,12/5/18,518,62
1543712788-1483,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/someone-saved-my-life-and-I-need-help-in-honor-of-his,https://d2g8igdw686xgo.cloudfront.net/27271234_1522756429.5995.jpg,eyebrow face skin beauty girl hairstyle forehead cheek ear chin, people  face skin beauty  people   _people style  people   people  ear  people ,0.008064516,0.088709677,0.008064516,0.89516129,15001,1400,10,Raised by 10 people in 10 months,   8,https://www.gofundme.com/someone-saved-my-life-and-I-need-help-in-honor-of-his#updates,1/26/18,12/5/18,312,22
1543713100-1597,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/dakota-jaeger039s-chocolate-business,https://d2g8igdw686xgo.cloudfront.net/28516918_15215139100_r.jpeg,sitting human body product fun girl smile,sitting  people  body product fun  people   people ,0.022727273,0.477272727,0.022727273,0.477272727,700,397,18,Raised by 18 people in 8 months,   1,https://www.gofundme.com/dakota-jaeger039s-chocolate-business#updates,3/19/18,12/5/18,260,22
1543713360-1691,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/businesstrip2vegas,https://d2g8igdw686xgo.cloudfront.net/28761892_1532039511301079_r.jpeg,jewellery blue necklace fashion accessory turquoise turquoise aqua gemstone silver body jewelry,jewellery blue necklace fashion accessory turquoise turquoise aqua gemstone silver body jewelry,0.778846154,0.009615385,0.009615385,0.201923077,490,185,8,Raised by 8 people in 4 months,0,,7/19/18,12/5/18,138,8
1543711907-1148,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/5frfuzs,https://d2g8igdw686xgo.cloudfront.net/29299490_15242663640_r.jpg,gas mask facial hair,gas mask  people   _people ,0.959459459,0.013513514,0.013513514,0.013513514,40000,0,0,Campaign created 7 months ago,0,,4/20/18,12/5/18,228,0
1543712202-1264,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/want-to-help-me-grow-my-business,https://d2g8igdw686xgo.cloudfront.net/34512794_1542195414549459_r.jpeg,text black and white font line design human behavior area signage monochrome logo,text black and white font line design  people  behavior area signage monochrome logo,0.009615385,0.971153846,0.009615385,0.009615385,1270,19,2,Raised by 2 people in 17 days,0,,11/14/18,12/5/18,20,0
